Ticker,Company Name,Combined
ORLY,O'Reilly Auto Parts,ORLY - O'Reilly Auto Parts
OXY,Occidental Petroleum,OXY - Occidental Petroleum
ODFL,Old Dominion,ODFL - Old Dominion
OMC,Omnicom Group,OMC - Omnicom Group
ON,ON Semiconductor,ON - ON Semiconductor
OKE,ONEOK,OKE - ONEOK
ORCL,Oracle Corporation,ORCL - Oracle Corporation
OTIS,Otis Worldwide,OTIS - Otis Worldwide
PCAR,Paccar,PCAR - Paccar
PKG,Packaging Corporation of America,PKG - Packaging Corporation of America
PLTR,Palantir Technologies,PLTR - Palantir Technologies
PANW,Palo Alto Networks,PANW - Palo Alto Networks
PARA,Paramount Global,PARA - Paramount Global
PH,Parker Hannifin,PH - Parker Hannifin
PAYX,Paychex,PAYX - Paychex
PAYC,Paycom,PAYC - Paycom
PYPL,PayPal,PYPL - PayPal
PNR,Pentair,PNR - Pentair
PEP,PepsiCo,PEP - PepsiCo
PFE,Pfizer,PFE - Pfizer
PCG,PG&E Corporation,PCG - PG&E Corporation
PM,Philip Morris International,PM - Philip Morris International
PSX,Phillips 66,PSX - Phillips 66
PNW,Pinnacle West,PNW - Pinnacle West
PNC,PNC Financial Services,PNC - PNC Financial Services
POOL,Pool Corporation,POOL - Pool Corporation
PPG,PPG Industries,PPG - PPG Industries
PPL,PPL Corporation,PPL - PPL Corporation
PFG,Principal Financial Group,PFG - Principal Financial Group
PG,Procter & Gamble,PG - Procter & Gamble
PGR,Progressive Corporation,PGR - Progressive Corporation
PLD,Prologis,PLD - Prologis
PRU,Prudential Financial,PRU - Prudential Financial
PEG,Public Service Enterprise Group,PEG - Public Service Enterprise Group
PTC,PTC Inc.,PTC - PTC Inc.
PSA,Public Storage,PSA - Public Storage
PHM,PulteGroup,PHM - PulteGroup
PWR,Quanta Services,PWR - Quanta Services
QCOM,Qualcomm,QCOM - Qualcomm
DGX,Quest Diagnostics,DGX - Quest Diagnostics
RL,Ralph Lauren Corporation,RL - Ralph Lauren Corporation
RJF,Raymond James Financial,RJF - Raymond James Financial
RTX,RTX Corporation,RTX - RTX Corporation
O,Realty Income,O - Realty Income
REG,Regency Centers,REG - Regency Centers
REGN,Regeneron Pharmaceuticals,REGN - Regeneron Pharmaceuticals
RF,Regions Financial Corporation,RF - Regions Financial Corporation
RSG,Republic Services,RSG - Republic Services
RMD,ResMed,RMD - ResMed
RVTY,Revvity,RVTY - Revvity
ROK,Rockwell Automation,ROK - Rockwell Automation
ROL,"Rollins, Inc.","ROL - Rollins, Inc."
ROP,Roper Technologies,ROP - Roper Technologies
ROST,Ross Stores,ROST - Ross Stores
RCL,Royal Caribbean Group,RCL - Royal Caribbean Group
SPGI,S&P Global,SPGI - S&P Global
CRM,Salesforce,CRM - Salesforce
SBAC,SBA Communications,SBAC - SBA Communications
SLB,Schlumberger,SLB - Schlumberger
STX,Seagate Technology,STX - Seagate Technology
SRE,Sempra,SRE - Sempra
NOW,ServiceNow,NOW - ServiceNow
SHW,Sherwin-Williams,SHW - Sherwin-Williams
SPG,Simon Property Group,SPG - Simon Property Group
SWKS,Skyworks Solutions,SWKS - Skyworks Solutions
SJM,J.M. Smucker Company (The),SJM - J.M. Smucker Company (The)
SW,Smurfit WestRock,SW - Smurfit WestRock
SNA,Snap-on,SNA - Snap-on
SOLV,Solventum,SOLV - Solventum
SO,Southern Company,SO - Southern Company
LUV,Southwest Airlines,LUV - Southwest Airlines
SWK,Stanley Black & Decker,SWK - Stanley Black & Decker
SBUX,Starbucks,SBUX - Starbucks
STT,State Street Corporation,STT - State Street Corporation
STLD,Steel Dynamics,STLD - Steel Dynamics
STE,Steris,STE - Steris
SYK,Stryker Corporation,SYK - Stryker Corporation
SMCI,Supermicro,SMCI - Supermicro
SYF,Synchrony Financial,SYF - Synchrony Financial
SNPS,Synopsys,SNPS - Synopsys
SYY,Sysco,SYY - Sysco
TMUS,T-Mobile US,TMUS - T-Mobile US
TROW,T. Rowe Price,TROW - T. Rowe Price
TTWO,Take-Two Interactive,TTWO - Take-Two Interactive
TPR,"Tapestry, Inc.","TPR - Tapestry, Inc."
TRGP,Targa Resources,TRGP - Targa Resources
TGT,Target Corporation,TGT - Target Corporation
TEL,TE Connectivity,TEL - TE Connectivity
TDY,Teledyne Technologies,TDY - Teledyne Technologies
TFX,Teleflex,TFX - Teleflex
TER,Teradyne,TER - Teradyne
TSLA,"Tesla, Inc.","TSLA - Tesla, Inc."
TXN,Texas Instruments,TXN - Texas Instruments
TPL,Texas Pacific Land Corporation,TPL - Texas Pacific Land Corporation
TXT,Textron,TXT - Textron
TMO,Thermo Fisher Scientific,TMO - Thermo Fisher Scientific
TJX,TJX Companies,TJX - TJX Companies
TSCO,Tractor Supply,TSCO - Tractor Supply
TT,Trane Technologies,TT - Trane Technologies
TDG,TransDigm Group,TDG - TransDigm Group
TRV,Travelers Companies (The),TRV - Travelers Companies (The)
TRMB,Trimble Inc.,TRMB - Trimble Inc.
TFC,Truist Financial,TFC - Truist Financial
TYL,Tyler Technologies,TYL - Tyler Technologies
TSN,Tyson Foods,TSN - Tyson Foods
USB,U.S. Bancorp,USB - U.S. Bancorp
UBER,Uber,UBER - Uber
UDR,"UDR, Inc.","UDR - UDR, Inc."
ULTA,Ulta Beauty,ULTA - Ulta Beauty
UNP,Union Pacific Corporation,UNP - Union Pacific Corporation
UAL,United Airlines Holdings,UAL - United Airlines Holdings
UPS,United Parcel Service,UPS - United Parcel Service
URI,United Rentals,URI - United Rentals
UNH,UnitedHealth Group,UNH - UnitedHealth Group
UHS,Universal Health Services,UHS - Universal Health Services
VLO,Valero Energy,VLO - Valero Energy
VTR,Ventas,VTR - Ventas
VLTO,Veralto,VLTO - Veralto
VRSN,Verisign,VRSN - Verisign
VRSK,Verisk Analytics,VRSK - Verisk Analytics
VZ,Verizon,VZ - Verizon
VRTX,Vertex Pharmaceuticals,VRTX - Vertex Pharmaceuticals
VTRS,Viatris,VTRS - Viatris
VICI,Vici Properties,VICI - Vici Properties
V,Visa Inc.,V - Visa Inc.
VST,Vistra Corp.,VST - Vistra Corp.
VMC,Vulcan Materials Company,VMC - Vulcan Materials Company
WRB,W. R. Berkley Corporation,WRB - W. R. Berkley Corporation
GWW,W. W. Grainger,GWW - W. W. Grainger
WAB,Wabtec,WAB - Wabtec
WBA,Walgreens Boots Alliance,WBA - Walgreens Boots Alliance
WMT,Walmart,WMT - Walmart
DIS,Walt Disney Company (The),DIS - Walt Disney Company (The)
WBD,Warner Bros. Discovery,WBD - Warner Bros. Discovery
WM,Waste Management,WM - Waste Management
WAT,Waters Corporation,WAT - Waters Corporation
WEC,WEC Energy Group,WEC - WEC Energy Group
WFC,Wells Fargo,WFC - Wells Fargo
WELL,Welltower,WELL - Welltower
WST,West Pharmaceutical Services,WST - West Pharmaceutical Services
WDC,Western Digital,WDC - Western Digital
WY,Weyerhaeuser,WY - Weyerhaeuser
WMB,Williams Companies,WMB - Williams Companies
WTW,Willis Towers Watson,WTW - Willis Towers Watson
WDAY,"Workday, Inc.","WDAY - Workday, Inc."
WYNN,Wynn Resorts,WYNN - Wynn Resorts
XEL,Xcel Energy,XEL - Xcel Energy
XYL,Xylem Inc.,XYL - Xylem Inc.
YUM,Yum! Brands,YUM - Yum! Brands
ZBRA,Zebra Technologies,ZBRA - Zebra Technologies
ZBH,Zimmer Biomet,ZBH - Zimmer Biomet
ZTS,Zoetis,ZTS - Zoetis
